Wind [m/s]  , Pitch [deg] , Power [MW]  , Rotor Speed [rpm] , Tip Speed [m/s] , Rotor Thrust [MN] , Rotor Torque [MNm] , Rotor Cp [-] , Rotor Ct [-]
2.999999831 , 3.999999663 , 0.070021377 , 4.99419631        , 62.75892175     , 0.593964861       , 0.138676858        , 0.100335552  , 0.819748943
3.499999916 , 3.981232949 , 0.3019937   , 4.994292398       , 62.76012923     , 0.659768436       , 0.598060546        , 0.272197208  , 0.801112031
4           , 3.708421492 , 0.595088475 , 4.995668685       , 62.77742416     , 0.744019844       , 1.178170168        , 0.359305118  , 0.808268424
4.500000084 , 3.225020608 , 0.964887394 , 4.993665367       , 62.75224972     , 0.844283886       , 1.911069956        , 0.409156685  , 0.821910918
4.750000126 , 2.986651719 , 1.185081978 , 4.995801536       , 62.77909362     , 0.896218567       , 2.346187651        , 0.42729002   , 0.822876237
5.000000169 , 2.720495409 , 1.429216889 , 4.995168575       , 62.7711396      , 0.95066647        , 2.829876623        , 0.441819614  , 0.823265981
5.249999874 , 2.328109734 , 1.695245223 , 4.994938377       , 62.76824684     , 1.013407273       , 3.356773197        , 0.452708049  , 0.830989358
5.999999663 , 1.191921933 , 2.656263808 , 4.997700486       , 62.80295653     , 1.206649681       , 5.256805971        , 0.475270298  , 0.834932456
6.199999966 , 0.874290636 , 2.957216831 , 4.994935219       , 62.76820715     , 1.260317718       , 5.855616512        , 0.479478644  , 0.833618598
6.40000027  , 0.553221637 , 3.275743373 , 4.994853973       , 62.76718619     , 1.315060648       , 6.486439061        , 0.482871263  , 0.83180478
6.499999747 , 0.423715005 , 3.442669566 , 4.99570826        , 62.77792148     , 1.340858086       , 6.815822443        , 0.484447627  , 0.829011103
6.55000016  , 0.371146493 , 3.528654678 , 4.996168226       , 62.78370158     , 1.35303462        , 6.985386963        , 0.485186337  , 0.826909201
6.599999899 , 0.315328984 , 3.614989064 , 4.994817213       , 62.76672425     , 1.365170435       , 7.158251633        , 0.485905846  , 0.824740997
6.700000051 , 0.209349948 , 3.791164267 , 4.995122815       , 62.77056456     , 1.389573781       , 7.506650094        , 0.487114154  , 0.820429675
6.800000202 , 0.099558125 , 3.971967845 , 4.995177736       , 62.77125471     , 1.414180748       , 7.864534931        , 0.488094793  , 0.816176257
6.900000354 , 0.007554825 , 4.15558904  , 4.997082176       , 62.79518661     , 1.437989395       , 8.225013269        , 0.488866488  , 0.811200233
6.919999845 , 0.000603634 , 4.192387051 , 4.99827201        , 62.81013851     , 1.442160463       , 8.295907391        , 0.488988058  , 0.809740903
6.929999928 , 6.97593E-07 , 4.210773549 , 4.998181796       , 62.80900485     , 1.443944251       , 8.332467373        , 0.489050152  , 0.808780765
6.94000001  , 0           , 4.228841377 , 5.000403131       , 62.83691896     , 1.446095476       , 8.364549249        , 0.489088858  , 0.808102306
6.950000093 , 0           , 4.247186435 , 5.003685154       , 62.87816208     , 1.448433817       , 8.395362985        , 0.489114531  , 0.807566626
6.960000175 , 0           , 4.265458105 , 5.008586469       , 62.93975382     , 1.451063716       , 8.423266464        , 0.489127764  , 0.807251977
6.969999584 , 0           , 4.283898392 , 5.011170088       , 62.97222054     , 1.453280931       , 8.455369497        , 0.48915576   , 0.80662442
6.980000341 , 0           , 4.301948494 , 5.017399966       , 63.05050749     , 1.456152592       , 8.480475153        , 0.489165047  , 0.806495512
6.989999749 , 0           , 4.320289911 , 5.02680706        , 63.16872052     , 1.459581324       , 8.500694422        , 0.489154466  , 0.806806173
6.999999831 , 0           , 4.339296326 , 5.03281502        , 63.24421877     , 1.462408574       , 8.527863241        , 0.489163867  , 0.806651158
7.499999916 , 0           , 5.33882324  , 5.38291462        , 67.6437001      , 1.618598616       , 9.809677443        , 0.489224161  , 0.805469658
8.00000000  , 0           , 6.481116995 , 5.734202893       , 72.05811873     , 1.785688325       , 11.17890909        , 0.489263048  , 0.804571567
8.500000084 , 0           , 7.774570984 , 6.087024715       , 76.4918085      , 1.963797766       , 12.63260751        , 0.48928802   , 0.803949121
9.000000169 , 0           , 9.229227024 , 6.444665906       , 80.98606026     , 2.15376621        , 14.16401501        , 0.489293116  , 0.803904895
9.500000253 , 0           , 10.85504374 , 6.800680671       , 85.45987375     , 2.354153957       , 15.78701388        , 0.489304304  , 0.803708734
10.00000034 , 0           , 12.66125448 , 7.155853464       , 89.92310669     , 2.565156695       , 17.49991525        , 0.489319143  , 0.80345211
10.2499997  , 0           , 13.638148   , 7.315757015       , 91.93251397     , 2.670036159       , 18.43804958        , 0.48938292   , 0.801706154
10.49999975 , 0           , 14.66065727 , 7.495052739       , 94.18561049     , 2.782638159       , 19.34629472        , 0.489378059  , 0.801777393
10.60000057 , 0.645100475 , 14.99484635 , 7.557402306       , 94.96911826     , 2.727830431       , 19.62404973        , 0.486507177  , 0.768657554
10.70000005 , 1.706528401 , 14.99464979 , 7.557303243       , 94.96787339     , 2.582325993       , 19.62404763        , 0.472991558  , 0.70731525
10.72000022 , 1.851434903 , 14.99461195 , 7.557284172       , 94.96763374     , 2.56316707        , 19.62404791        , 0.470349316  , 0.698507743
10.73999971 , 1.986782433 , 14.99455374 , 7.557254833       , 94.96726505     , 2.545414142       , 19.62404713        , 0.467724941  , 0.690211963
10.76000055 , 2.114335149 , 14.99452082 , 7.557238244       , 94.9670566      , 2.528795404       , 19.62404457        , 0.465119143  , 0.682335591
10.78000004 , 2.235111409 , 14.99455424 , 7.557255082       , 94.96726819     , 2.513190807       , 19.62404452        , 0.462537044  , 0.674835939
10.78400034 , 2.258611137 , 14.99452965 , 7.557242692       , 94.96711248     , 2.510161326       , 19.62404448        , 0.462021882  , 0.673371183
10.78600049 , 2.27023705  , 14.99453211 , 7.557243932       , 94.96712807     , 2.508666998       , 19.62404463        , 0.461765284  , 0.672646111
10.78699989 , 2.276057579 , 14.99453141 , 7.557243574       , 94.96712358     , 2.507917813       , 19.62404417        , 0.461636557  , 0.672283185
10.78799997 , 2.281846093 , 14.99451543 , 7.557235532       , 94.96702251     , 2.50717275        , 19.62404498        , 0.46150846   , 0.671921569
10.78899937 , 2.287571971 , 14.99452466 , 7.557240175       , 94.96708086     , 2.50643983        , 19.62404543        , 0.461380941  , 0.671564033
10.78950042 , 2.290444926 , 14.99459142 , 7.557273824       , 94.9675037      , 2.506078932       , 19.62404426        , 0.461317766  , 0.671386994
10.8000002  , 2.350461945 , 14.99453984 , 7.557247827       , 94.96717702     , 2.498382011       , 19.62404423        , 0.459972382  , 0.667639697
10.89999968 , 2.863685409 , 14.9944265  , 7.557190702       , 94.96645916     , 2.43369366        , 19.62404019        , 0.447424184  , 0.635292304
10.99999983 , 3.304586668 , 14.99426629 , 7.557109966       , 94.96544461     , 2.379709865       , 19.6240366         , 0.435324299  , 0.607277698
11.24999987 , 4.226391533 , 14.99402192 , 7.556986798       , 94.96389684     , 2.271612586       , 19.62403916        , 0.406934831  , 0.548965866
11.50000059 , 4.998413158 , 14.99410762 , 7.55702999        , 94.9644396      , 2.185962064       , 19.62403661        , 0.380965216  , 0.501379105
11.75000063 , 5.67872852  , 14.99417514 , 7.557064019       , 94.96486722     , 2.114041428       , 19.62403343        , 0.357157168  , 0.460982977
11.99999933 , 6.295227382 , 14.99417331 , 7.557063101       , 94.96485569     , 2.051783979       , 19.6240404         , 0.335295525  , 0.425965654
12.99999949 , 8.377447492 , 14.99476256 , 7.557360078       , 94.9685876      , 1.861059797       , 19.62404254        , 0.263718683  , 0.32116631
13.99999966 , 10.1088519  , 14.99476121 , 7.5573594         , 94.96857908     , 1.724382126       , 19.62403963        , 0.211136579  , 0.2511023
14.99999983 , 11.63830463 , 14.99475771 , 7.557357639       , 94.96855696     , 1.619130709       , 19.62403671        , 0.171651956  , 0.201415182
17.50000025 , 14.95496778 , 14.99482665 , 7.557392384       , 94.96899357     , 1.434534952       , 19.62404114        , 0.108080744  , 0.125653944
20.00000067 , 17.84211387 , 14.99482754 , 7.557392828       , 94.96899915     , 1.314275979       , 19.62404705        , 0.072394937  , 0.08506697
22.49999975 , 20.4662792  , 14.99627008 , 7.558119868       , 94.9781354      , 1.22973494        , 19.62405364        , 0.050842443  , 0.061026446
24.99999882 , 22.90524739 , 14.99762687 , 7.558803692       , 94.98672859     , 1.168739896       , 19.62406336        , 0.037062292  , 0.045814967
