Wind [m/s]  , Pitch [deg] , Power [MW]  , RotorSpeed [rpm] , Tip Speed [m/s] , Rotor Thrust [MN] , Rotor Torque [MNm] , Rotor Cp [-] , Rotor Ct [-]
0.0          , 3.999999663 , 0.00000000 , 0.00000000        , 00.00000000     , 0.000000000       , 0.000000000        , 0.000000000  , 0.000000000
2.999999831 , 3.999999663 , 0.070021377 , 4.99419631        , 62.75892175     , 0.593964861       , 0.138676858        , 0.100335552  , 0.819748943
4           , 3.708421492 , 0.595088475 , 4.995668685       , 62.77742416     , 0.744019844       , 1.178170168        , 0.359305118  , 0.808268424
5.000000169 , 2.720495409 , 1.429216889 , 4.995168575       , 62.7711396      , 0.95066647        , 2.829876623        , 0.441819614  , 0.823265981
5.999999663 , 1.191921933 , 2.656263808 , 4.997700486       , 62.80295653     , 1.206649681       , 5.256805971        , 0.475270298  , 0.834932456
6.999999831 , 0           , 4.339296326 , 5.03281502        , 63.24421877     , 1.462408574       , 8.527863241        , 0.489163867  , 0.806651158
8.00000000  , 0           , 6.481116995 , 5.734202893       , 72.05811873     , 1.785688325       , 11.17890909        , 0.489263048  , 0.804571567
9.000000169 , 0           , 9.229227024 , 6.444665906       , 80.98606026     , 2.15376621        , 14.16401501        , 0.489293116  , 0.803904895
10.00000034 , 0           , 12.66125448 , 7.155853464       , 89.92310669     , 2.565156695       , 17.49991525        , 0.489319143  , 0.80345211
10.99999983 , 3.304586668 , 14.99426629 , 7.557109966       , 94.96544461     , 2.379709865       , 19.6240366         , 0.435324299  , 0.607277698
12.99999949 , 8.377447492 , 14.99476256 , 7.557360078       , 94.9685876      , 1.861059797       , 19.62404254        , 0.263718683  , 0.32116631
13.99999966 , 10.1088519  , 14.99476121 , 7.5573594         , 94.96857908     , 1.724382126       , 19.62403963        , 0.211136579  , 0.2511023
14.99999983 , 11.63830463 , 14.99475771 , 7.557357639       , 94.96855696     , 1.619130709       , 19.62403671        , 0.171651956  , 0.201415182
17.50000025 , 14.95496778 , 14.99482665 , 7.557392384       , 94.96899357     , 1.434534952       , 19.62404114        , 0.108080744  , 0.125653944
20.00000067 , 17.84211387 , 14.99482754 , 7.557392828       , 94.96899915     , 1.314275979       , 19.62404705        , 0.072394937  , 0.08506697
